u4mex-ZXTUpPNqfF9hrJWQ	Evian Salon & Day Spa4130 La Jolla Village DrSan Diego, CA 92037	List(Hair Salons, Hair Extensions, Shopping, Wigs, Beauty and Spas)	5.0
u4mex-ZXTUpPNqfF9hrJWQ	Evian Salon & Day Spa4130 La Jolla Village DrSan Diego, CA 92037	List(Hair Salons, Hair Extensions, Shopping, Wigs, Beauty and Spas)	5.0
oL10IXd0ZzQgeAuyCiWGbA	230 S Lake AveSuite #1PasadenaPasadena, CA 91101	List(Shopping, Optometrists, Health and Medical, Eyewear & Opticians)	5.0
seAoSJ_9JWAYUqeTryiWKQ	WestwoodLos Angeles, CA 90024	List(Day Spas, Beauty and Spas)	5.0
0PzBMItpYXEc1b1jAvcPuA	2058 N Mills AveSte 313Claremont, CA 91711	List(Property Management, Home Services, Real Estate)	5.0
frPW4Y7UgQjFfrOmUX8vzA	849 W 34th StSouth Los AngelesLos Angeles, CA 90089	List(Doctors, Health and Medical, Obstetricians and Gynecologists)	5.0
0Ma1ryBYeCQhC-Wnq9_8JA	212 S El Molino AvePasadenaPasadena, CA 91101	List(Oral Surgeons, Dentists, Health and Medical, General Dentistry)	5.0
0Ma1ryBYeCQhC-Wnq9_8JA	212 S El Molino AvePasadenaPasadena, CA 91101	List(Oral Surgeons, Dentists, Health and Medical, General Dentistry)	5.0
0MNc2mqg-ycC2VDc_c_m4w	1185 Pacific StSan Luis Obispo, CA 93401	List(Antiques, Shopping, Event Planning & Services, Venues & Event Spaces)	5.0
0MNc2mqg-ycC2VDc_c_m4w	1185 Pacific StSan Luis Obispo, CA 93401	List(Antiques, Shopping, Event Planning & Services, Venues & Event Spaces)	5.0
IDcE6KnGoOEkxaQKhvwMQA	1344 W Martin Luther King BlvdSouth Los AngelesLos Angeles, CA 90037	List(Specialty Food, Food, Fruits & Veggies)	5.0
0RyDE2D5NuuYJ5H6ku6hMQ	2150 Allston WaySte 280Downtown BerkeleyBerkeley, CA 94704	List(Hotels & Travel, Tours)	5.0
seAoSJ_9JWAYUqeTryiWKQ	WestwoodLos Angeles, CA 90024	List(Day Spas, Beauty and Spas)	5.0
q3-XTsCvVnoc8cARHIK3MA	555 N Central AveUpland, CA 91786	List(Dentists, Health and Medical)	5.0
tG_Q0_NOS05lCywx12fVXQ	960 E Green StSte 101PasadenaPasadena, CA 91106	List(Doctors, Health and Medical, Cosmetic Surgeons)	5.0
Mjr4GCdANwPaP3FedPCHug	8950 Villa La Jolla DrLa Jolla, CA 92037	List(Hair Salons, Beauty and Spas)	5.0
BDA7zMwo5-JpM1Fy1FJmcA	2716 S Vermont AveSte 3South Los AngelesLos Angeles, CA 90007	List(Local Services, Electronics Repair)	5.0
BDA7zMwo5-JpM1Fy1FJmcA	2716 S Vermont AveSte 3South Los AngelesLos Angeles, CA 90007	List(Local Services, Electronics Repair)	5.0
E22ksVYQPJ2q1ahaUZphoQ	PO Box 1314San Luis Obispo, CA 93406	List(Party Supplies, Photographers, Event Planning & Services)	5.0
TRyJW2p1yybSi_ewTBN0XA	1039 E Green StPasadenaPasadena, CA 91106	List(Books, Mags, Music and Video, Shopping, Bookstores)	5.0
TRyJW2p1yybSi_ewTBN0XA	1039 E Green StPasadenaPasadena, CA 91106	List(Books, Mags, Music and Video, Shopping, Bookstores)	5.0
TUKHEGPPVj3WJmigMiMQoQ	653 N Central AveUpland, CA 91786	List(Shopping, Nurseries & Gardening, Home & Garden)	5.0
TUKHEGPPVj3WJmigMiMQoQ	653 N Central AveUpland, CA 91786	List(Shopping, Nurseries & Gardening, Home & Garden)	5.0
TUkFWe9uVHHz34bup0lJsg	1241 Johnson StSte 147San Luis Obispo, CA 93401	List(Real Estate Services, Home Services, Real Estate)	5.0
sTFPzapANTMifwztECnTeQ	1 Grand AveSan Luis Obispo, CA 93407	List(Churches, Religious Organizations)	5.0
sTFPzapANTMifwztECnTeQ	1 Grand AveSan Luis Obispo, CA 93407	List(Churches, Religious Organizations)	5.0
E22ksVYQPJ2q1ahaUZphoQ	PO Box 1314San Luis Obispo, CA 93406	List(Party Supplies, Photographers, Event Planning & Services)	5.0
Q8mmjSgE5YXl_UQXUF-fUA	1820 W 11th StUnit E & FUpland, CA 91786	List(Auto Repair, Automotive, Oil Change Stations)	5.0
uCho2sy5TFp7vf3w00kSJA	3175 S Hoover StSte 151South Los AngelesLos Angeles, CA 90007	List(Home Services, Contractors)	5.0
uCho2sy5TFp7vf3w00kSJA	3175 S Hoover StSte 151South Los AngelesLos Angeles, CA 90007	List(Home Services, Contractors)	5.0
TUkFWe9uVHHz34bup0lJsg	1241 Johnson StSte 147San Luis Obispo, CA 93401	List(Real Estate Services, Home Services, Real Estate)	5.0
IDcE6KnGoOEkxaQKhvwMQA	1344 W Martin Luther King BlvdSouth Los AngelesLos Angeles, CA 90037	List(Specialty Food, Food, Fruits & Veggies)	5.0
Rt2qEtu_LdhuVb-SqXjl_w	3950 Mahaila AveUniversity CitySan Diego, CA 92122	List(Photographers, Event Planning & Services)	5.0
Tb_9t-cp0wI3I52VMOFpmQ	606 Levering AveWestwoodLos Angeles, CA 90024	List(Specialty Food, Food)	5.0
Tb_9t-cp0wI3I52VMOFpmQ	606 Levering AveWestwoodLos Angeles, CA 90024	List(Specialty Food, Food)	5.0
Mjr4GCdANwPaP3FedPCHug	8950 Villa La Jolla DrLa Jolla, CA 92037	List(Hair Salons, Beauty and Spas)	5.0
Aty5bm84NvuwsgFCk3EDqw	1047 W Foothill BlvdClaremont, CA 91711	List(Medical Spas, Health and Medical, Massage, Beauty and Spas)	5.0
Aty5bm84NvuwsgFCk3EDqw	1047 W Foothill BlvdClaremont, CA 91711	List(Medical Spas, Health and Medical, Massage, Beauty and Spas)	5.0
AtXL7FpHSDubGNoGN2fP-g	8767 Gilman DrSte CLa JollaLa Jolla, CA 92037	List(Performing Arts, Dance Schools, Specialty Schools, Education, Arts & Entertainment)	5.0
AtXL7FpHSDubGNoGN2fP-g	8767 Gilman DrSte CLa JollaLa Jolla, CA 92037	List(Performing Arts, Dance Schools, Specialty Schools, Education, Arts & Entertainment)	5.0
TkgwrQt5PvajLTMVdhn9tw	WestwoodLos Angeles, CA 90024	List(Photographers, Event Planning & Services)	5.0
Ao4gzHv-WJ3G9naa7QOS4Q	UCLA Royce Hall340 Royce DrWestwoodLos Angeles, CA 90095	List(Arts & Entertainment, Performing Arts)	5.0
Ao4gzHv-WJ3G9naa7QOS4Q	UCLA Royce Hall340 Royce DrWestwoodLos Angeles, CA 90095	List(Arts & Entertainment, Performing Arts)	5.0
TkgwrQt5PvajLTMVdhn9tw	WestwoodLos Angeles, CA 90024	List(Photographers, Event Planning & Services)	5.0
Rt2qEtu_LdhuVb-SqXjl_w	3950 Mahaila AveUniversity CitySan Diego, CA 92122	List(Photographers, Event Planning & Services)	5.0
of1BqXidTdtStIrHwrxwhA	600 S Lake AveSte 105PasadenaPasadena, CA 91106	List(Doctors, Health and Medical, Family Practice, Urgent Care)	5.0
ToIFBIpViG_hVaLU0_bcsw	2637 Ellendale PlSouth Los AngelesLos Angeles, CA 90007	List(Local Services, Electronics, Shopping, Electronics Repair)	5.0
